S.No.,Articles,Result
1,"...drags Railways to CCIArshiya International, the private train operator, has dragged the Indian Railways to Competition Commission of India (CCI) for not disclosing certain clauses while signing concessionary agreement and raising haulage charges. The CCI is expected to announce its observations in April.Ajay Mittal, chairman, Arshiya International said, ""There are many private players including the steel and coal companies who are not happy with the Indian Railways but they do not want to cross swords with the ministry.""The railway ministry in September increased the haulage charges by 170 to 200% for petroleum products, cement, stone, iron and steel.",1
2,"10 key faces in Modi govt and challenges their ministries faceNarendra Modi was sworn in as the 15th Prime Minister on Monday, taking charge of the world's largest democracy as it struggles with an economic slowdown and a severe shortage of jobs.The voters and foreign investors alike have high hopes for Modi, whose slick campaign presented him as a business-friendly leader who would jump-start investment.",1
3,"19-year-old killed in an accident, truck set ablaze in Pimpri-ChinchwadA case of causing death due to negligent driving was registered at Pimpri police station against the truck driverThe burnt and damaged dumper and the two-wheeler after a mob set the vehicles on fire after a teenager died on the spot after being hit by the dumper in Pimpri-Chinchwad on Wednesday.(HT/PHOTO)A teenager was killed after a truck hit his two-wheeler, on an overbridge near KSB chowk, Pimpri-Chinchwad. The frenzied mob of people surrounding the spot set the truck on fire, damaging it partially.The deceased boy has been identified asOmkar More (19), who was riding a Vespa on the overbridge. The police rushed to the spot and pulled out the two-wheeler from underthe burnt truck’s front wheel.“We rushed two fire vehicles to the spot and it took us 15 minutes to douse off the fire. There was traffic chaos in the area and the truck driver was nowhere to be seen,” said Bhagwan Yamger, fire officer, General Arunkumar Vaidya Central Fire Station of Pimpri Chinchwad Municipal Corporation (PCMC).Read more2.5 lakh Pune students begin HSC exams today6-year-old boy trapped in borewell rescued after 13-hour operation near PuneA case of causing deathdue to negligent driving was registered at Pimpri police station against the truck driver.In yet another case, a pedestrian was killed near Asha Hotel on Sinhagad road. The body was found by a passers-by who reported it to the police. The identity of the man could not be ascertained, neither have the police identified the vehicle which was involved in the accident. His body was sent for post mortem and the incident was recorded at Dattawadi police station.Meanwhile, on Tuesday a 34-year-old man was killed by a dumper truck which hit him from the rear. The deceased has been identified as Toshwar Manjit Singh, 34, a resident of Lakshmi Satyam Society in Kamala Park, Dhanori.Singh was riding a Honda Activa at 9:45 am on Tuesday on the road connecting Dhanori to Vishrantwadi. A truck driven by Mehmodkhan Lalakhan Pathan, (51), hit Singh’s two-wheeler, killing him instantly.Pathan, a resident of Charholi, fled the scene but was later arrested by Vishrantwadi police, which booked him under sections279, 304(a), 338 of Indian Penal Code and Sections 132(1)(c), 119/177 of Motor Vehicle Act.",0
4,"24th February 2010: When Sachin Tendulkar rewrote history books in GwaliorSachin Tendulkar is widely regarded as one of the best batsmen in the history of the game and on this day, nine years ago, the Indian superstar etched his name in history books against South Africa in Gwalior.Tendulkar became the first cricketer ever to score a double century in ODIs as he powered the hosts to a series-clinching win over the Proteas at the Captain Roop Singh Stadium.Riding on Tendulkar’s unbeaten 200, India put on a huge total of 401/3 in 50 overs. Depite AB De Villiers’101 ball 114, the visitors were dismissed for just 248 and they fell short by 153 runs.The Master Blaster’s innings included 25 boundaries and three massive sixes and he crossed the 200-run mark off just 147 deliveries at a healthy strike rate of 136.0.Tendulkar was rightly adjudged the man of the match as he showed the way to other that crossing the 200-run mark in ODIs was possible. Following Tendulkar’s heroics, many others took the leaf out of his book and went on to smash double centuries in the 50-over format of the game.India has most representation in this exclusive club as current vice-captain Rohit Sharma has done it thrice during the course of his illustrious career. Rohit’s 264 against Sri Lanka in Kolkata in 2014 also remains the highest individual score in ODIs.Apart from Tendulkar and Rohit, Virender Sehwag is the third Indian on this elite list as he smashed 219 against Windies in Indore in 2011.The other such cricketers are New Zealand’s Martin Guptill (237* vs WI), West Indies’ Chris Gayle (215 vs ZIM) and Pakistan’s Fakhar Zaman (210* vs ZIM).",0
5,"3 from same family die after car rolls into ditch in Uttarakhand“There were seven people of the same family hailing from Chourkhanda village of Pauri. They had gone to Delhi in the rented vehicle for a family function. On Monday morning, they were returning home when on the way near Dugadda area of Kotdwar town, the driver lost control over the vehicle and it fell in the ditch about 150m deep,” SDRF official Praveen Alok said.“The three deceased had died on the spot while the five others including the driver who were injured, have been rushed to a nearby hospital for treatment” SDRF official Praveen Alok said.(Getty Images/iStockphoto)Three people, including a woman, from the same family were killed and five others injured early on Monday when the multi-utility vehicle they were travelling in fell into a 150-metre deep ditch in Uttarakhand’s Pauri Garhwal district, officials said.The dead have been identified as Maheshwari Devi, 50, Vinod Singh Rawat, 50, and 36-year-old Arvind Singh Rawat - all resident of Chourkhanda village of the district. Arvind was the head of the village.They were returning from a family function in Delhi, when the accident took place near Kotdwar town at around 5:30am, State Disaster Response Force officials said. SDRF official Praveen Alok said there were eight people, including the driver, in the vehicle.“There were seven people of the same family hailing from Chourkhanda village of Pauri. They had gone to Delhi in the rented vehicle for a family function. On Monday morning, they were returning home when on the way near Dugadda area of Kotdwar town, the driver lost control over the vehicle and it fell in the ditch about 150m deep,” Alok said.He said SDRF received the information about the accident from the local fire station at around 6am. A team of nine SDRF personnel were rushed to the spot for the rescue operation, he said.“The three deceased had died on the spot while the five others including the driver who were injured, have been rushed to a nearby hospital for treatment.”Alok said an initial investigation shows that the driver must have dosed off on the wheel, which could have led to the accident.“However, the actual reasons could be ascertained after speaking to the injured and as the investigation progresses.”",0
6,"7/11 train blasts: 11 years on, safety still a big concernDespite railway stations being on the radar of terrorists and train commuters been targeted twice during the July 2006 train bombings and the Mumbai terror attacks of November 2008, the stations still continue to have unhindered access via several unauthorised entry-exit points, according to railway police officials. The Government Railway Police (GRP) along with their counterparts at the Railway Protection Force (RPF) recently conducted a security audit of the stations, which revealed that there are at least 1090 unsecured spots between CSTM-Thane-Panvel and Churchgate-Bandra that need quick attention, according to Niket Kaushik, Commissioner, Government Railway Police (GRP).   Owing to heavy and uncontrolled footfall at the railway stations, the ‘minimum standard security’ apparatus continues to be compromised as all the stations have unauthorised entry and exit points. This makes all the stations unsafe and the railways have been informed to plug them, however, very little has been done.  The highest number of vulnerable points, 315, was found in Vashi GRP’s Thane-Vashi trans-harbour line, which is last on the list of security. “The audit is still underway and is being conducted by all the 17 police stations in Mumbai’s suburban section. The data will help to analyse the loopholes and improved coordination among the agencies and police. The concerned agencies (railways and BMC) are being informed about the findings for improving things on ground,” said Niket Kaushik, GRP commissioner.",1
7,"‘Denuclearization’: Donald Trump teases ahead of talks with Kim Jong-unDay before leaving for the upcoming Hanoi summit, President Donald Trump teased the prospect of denuclearization as an outcome with a question mark and said Chairman Kim Jong-un is aware North Korea could become one of the “great economic powers” if it gave up its nuclear weapons.Denuclearization of the Korean peninsula — getting rid of North Korea’s nuclear weapons, essentially — is the chief US goal but the two sides remain far apart on it and President Trump is under pressure to show progress on one of his administration’s signature foreign policy initiative amidst criticism that he has been played so far by the younger Chairman Kim.“I don’t know if North Korea has made the choice to denuclearize,” a senior administration official said last week, previewing summit.Trump leaves for Hanoi, Vietnam Monday morning and will Kim, who is already on his way by train, on Wednesday and Thursday. US and North Korean negotiators have reached in advance and hammering out outcomes, if any, that could include the two countries exchanging liaison offices.Trump and Kim will hold multiple meetings, following the Singapore template from last summer, their first summit — a one-on-one, then one with their officials and a lunch, US officials have said.“We both expect a continuation of the progress made at first Summit in Singapore,” Trump wrote on Twitter Sunday.“Denuclearization?” he ended that post with a question mark.Also read | ‘Very, very bad situation between India and Pakistan’: Trump on Pulwama attackBut did not provide an answer. He went on, instead, reprise for North Korea the prospect of economic prosperity in exchange for giving up its nuclear weapons programme: “Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become one of the great economic powers anywhere in the World. Because of its location and people (and him), it has more potential for rapid growth than any other nation!”Complete and verifiable denuclearization by North Korea is the key US goal but experts and US intelligence officials insist Pyongyang has not even made a start yet, though they agree it has also not conducted nuclear and missile tests since the two sides began talking earlier 2018, leading up to the June summit.North Korea is seeking, in return, a peace treaty to formally end the Korean war to replace the 1953 armistice, lifting of economic sanctions, and security guarantees. Kim hasn’t managed any of that yet yet, but his June meeting with Trump has given him a leg up over his father and grandfather, who ruled the country before him, as the first North Korean leader to meet a sitting American president.",0
8,"‘Missing man’ formation marks tribute to IAF pilot Sahil GandhiA Rafale aircraft of the French air force also made a low pass during the flying display as a mark of respect to Gandhi, who hailed from Haryana’s Hisar. A radio call given by the French pilot announcing this was broadcast over the PA system on the ground.French aircraft Rafale manoeuvres during the inauguration of the 12th edition of AERO India 2019 air show at Yelahanka airbase in Bengaluru on Wednesday. (PTI Photo)The Indian Air Force (IAF) on Wednesday conducted a memorial fly-past at the Yelahanka air base for Wing Commander Sahil Gandhi, a day after the fighter pilot was killed in a mid-air collision between two British-origin Hawk advanced jet trainers while practising aerobatic manoeuvres for the five-day Aero India-2019.Three IAF fighter jets — a Sukhoi-30 fighter flanked by a Jaguar and a Tejas light combat aircraft — flew the time-honoured “missing man” formation to honour Gandhi at the inaugural fly-past of Asia’s biggest air show.“The formation pays tribute to the fallen pilot. If he was alive, he would have been flying too in the finger four formation,” said former IAF chief Air Chief Marshal Fali Major.Gandhi, 37, was part of the IAF’s renowned Surya Kiran Aerobatic Team (SKAT), which consists of the country’s finest pilots trained to perform complex stunts. Two other pilots injured in the twin Hawk crash - Wing Commander VT Shelke and Squadron Leader TJ Singh - are recuperating in an IAF hospital.A Rafale aircraft of the French air force also made a low pass during the flying display as a mark of respect to Gandhi, who hailed from Haryana’s Hisar. A radio call given by the French pilot announcing this was broadcast over the PA system on the ground. Captain Nativel Babouc, who flew the Rafale in a low pass to honour Gandhi, said, “It was my way to pay homage to the fallen pilot. We fighter pilots are one big family no matter which country we come from.”IAF chief Air Chief Marshal BS Dhanoa said it was too early to say what went wrong and only an investigation would reveal the cause of the accident. The jets were in a mirror manoeuvre – one flying inverted above the other – seconds before the collision that has become the major talking point at the 12th edition of the air show. While SKAT is not taking part in the air show any longer because IAF wants to pinpoint the reasons for the accident, the display team’s Hawks were seen parked outside an apron near the main runway of the air base.Defence minister Nirmala Sitharaman declared the air show open, asserting that it intended to put India on the global map as “a runway to a billion opportunities”.The IAF’s Sarang helicopter display team performed a string of breathtaking manoeuvres amid cheers and applause from the spectators, including ministers from foreign countries, and top military officials including the three service chiefs.Another highlight of the biennial show was a fly-by performed by a B-52 Stratofortress bomber that came from the Andersen Air Force Base in Guam.Of the seven fighter jets competing for an Indian programme to build 114 planes locally under the strategic partnership (SP) model, only Rafales, F-18s and F-16s were part of the flying display.",0
9,"‘Prime time minister continued shooting for film after Pulwama attack’: Rahul Gandhi attacks PM Narendra ModiIn a scathing attack on Prime Minister Narendra Modi, Congress president Rahul Gandhi on Friday said the “prime time minister” continued shooting for a film till even three hours after news of the Pulwama terror strike came in.There was an ocean of pain in the country’s hearts and in the homes of martyrs and he was smiling and doing a photoshoot in the waters, Gandhi said on Twitter with the hashtag ‘PhotoShootSarkar’.“Even after three hours of the news of the 40 jawans being martyred in the Pulwama terror strike, the prime time minister continued with a film shooting,” the Congress president tweeted in Hindi. On Thursday, the Congress cited media reports to allege that Modi continued shooting for a film in the Corbett National Park on February 14 for “self propagation”, and stayed put till the evening despite the attack on a CRPF convoy in south Kashmir’s Pulwama district in the afternoon that day.Congress’ chief spokesperson Randeep Surjewala, addressing a press conference, also claimed the prime minister continued to “have tea and samosas at seven o’clock in a PWD guest house when every single Indian household didn’t eat food (that day)”.",0
10,"‘Sabka vinaash’: Yogi Adityanath’s take on SP, BSP, and Congress in UPUttar Pradesh chief minister Yogi Adityanath has said while the BJP’s motto was “Sabka Saath, Sabka Vikas”, the opposition SP, BSP and the Congress in the state stood for “Sabka Vinaash” (destruction of everyone).His comments came when a discussion on the budget was underway at the Uttar Pradesh Legislative Assembly.“SABKA stands for SP (Samajwadi Party), BSP (Bahujan Samaj Party) and Congress. Our Sabka slogan speaks about development of all. Their Sabka speaks about destruction of everyone...We stand for Sabka Saath, Sabka Vikaas. Yours is Sabka Saath, Sabka Vinaash,” Adityanath said intervening the discussion.Taking a dig at the Congress, he said, “Every citizen of this country is proud of our traditions. If the Congress had tried to take pride in the country’s traditions, it would not have come to its lowest tally in the state and the country. This situation has come as the Congress had insulted the culture and traditions of the country.” “When you want to garner votes, you show your janeu (sacred threads worn by Hindus). People have even started telling their ‘Gotra’ (sub-caste)... And even the SP did not find the Congress suitable to include it in the SP-BSP alliance,” the chief minister said, targeting the opposition Congress in the state.Adityanath also took a jibe at Ram Gobind Chaudhary (SP), the Leader of Opposition in the UP Assembly. “If you (Ram Gobind Chaudhary) had even an iota of sympathy for the poor, you would have been with Shivpal Yadav’s political party and not with the SP. (Ram Manohar) Lohiaji had spoken about socialism, which is not seen in your party (SP). In reality, it is Shivpal Yadav who takes the name of Lohiaji. You (SP) people do not take his name,” he said.He briefed the House on the various aspects of the budget and spoke at length on the various schemes of the state government pertaining to women, girls, farmers, labourers, youth, villages, electricity, roads, Metro rail, development of airports, health and education.“In a nutshell, I can say that this is a holistic budget. This is a budget which has taken care of the interests of all sections of the society and has given a new impetus to development. This is a budget which has brought smile and prosperity on every face,” Adityanath said.He announced that the state government will soon enhance the honorarium of Anganwadi and ASHA workers, those in the Panchayati Raj Department, village sevaks and cooks who make mid-day meals.Speaking on the recent terror attack in Pulwama that claimed the lives of 40 CRPF personnel, Adityanath said, “The anger which is visible after the Pulwama terror attack is an eye-opener for the public representatives. If a person indulges in appeasement of self-interest, and encourages terrorism, then the same anger will be visible which is today seen on the streets.”The UP chief minister said the BJP government has worked hard to put the derailed system of the state back on track.“UP, which was languishing among the bottom states of the country during the governments of the SP and the BSP, is now on the path of becoming the number one,” Adityanath said.",0
