]+9,Url,Date,Time
"""He's not my enemy,"" Donald Trump said about the North Korean leader. (AFP)  Fox News' Sean Hannity asked President Donald Trump during an interview that aired Thursday why he walked away from an agreement with North Korean leader Kim Jong Un.  The deal wasn't right, Trump explained, but added ""let's see what happens.""  He was optimistic about the future: ""Again, the relationship is very good,"" Trump said. ""He likes me. I like him.""  ""Some people say, oh, you shouldn't like him,"" he continued. ""I said, why shouldn't I like him? I like him. We get along great. We'll see what happens.""  Trump sees his interactions with world leaders like Kim in personal terms - Kim vs. Trump - instead of through the lens of his position.  For Kim to conflate himself with North Korea is fair: He's a dictator whose decisions and whims guide every detail within his country. Trump, though, is the elected leader of a democratic nation who serves as a representative of the public, not himself. His power is checked by Congress and the courts.  What Trump's doing, really, is approaching leadership of the country as he did his leadership of the Trump Organization. There he was dictator, enacting by decree whatever his heart desired. He embodied that company as Kim embodies North Korea. But now he has a new job.  We've heard language like this from Trump before. Last July, as he prepared for a summit in Helsinki with Russian President Vladimir Putin, Trump expressed optimism about the discussion.  ""Somebody was saying, 'Is he an enemy?' He's not my enemy,"" Trump said at a news conference. ""Is he a friend? No, I don't know him well enough. But the couple of times I've gotten to meet him, we get along very well.""  Putin is pretty obviously not America's friend, and most Americans view his country as a critical threat to the United States. So Putin may not be Trump's enemy, but most Americans think he's America's.  As unusual as this approach is for a president, it's even more remarkable that Trump would wonder aloud why he should be expected not to like Kim. This from a president who, during his first State of the Union address in 2018, said that ""no regime has oppressed its own citizens more totally or brutally than the cruel dictatorship in North Korea.""  ""Past experience has taught us that complacency and concessions only invite aggression and provocation,"" he continued. ""I will not repeat the mistakes of past administrations that got us into this dangerous position.""  He went on to cite the example of how American student Otto Warmbier was treated while imprisoned in the country on trumped-up charges.  ""After a shameful trial, the dictatorship sentenced Otto to 15 years of hard labor, before returning him to America last June - horribly injured and on the verge of death,"" Trump said. ""He passed away just days after his return.""  On Thursday, his tune was different. Kim ""felt badly"" about Warmbier's death, Trump insisted. ""He tells me that he didn't know about it, and I will take him at his word.""  Warmbier's parents disagree. ""Kim and his evil regime are responsible for the death of our son Otto,"" they said in a statement released on Friday. ""Kim and his evil regime are responsible for unimaginable cruelty and inhumanity. No excuse or lavish praise can change that.""  That cruelty extends well beyond Warmbier. After describing what happened to Warmbier in his State of the Union address, Trump told this story, about a man who was in the audience:  In 1996, [Ji] Seong-ho was a starving boy in North Korea. One day, he tried to steal coal from a railroad car to barter for a few scraps of food. In the process, he passed out on the train tracks, exhausted from hunger. He woke up as a train ran over his limbs. He then endured multiple amputations without anything to dull the pain. His brother and sister gave what little food they had to help him recover and ate dirt themselves - permanently stunting their own growth. Later, he was tortured by North Korean authorities after returning from a brief visit to China.  The North Korean government had between 80,000 and 120,000 people imprisoned in labor camps according to a 2014 U.N. report. But those numbers fluctuate a lot because ""[t]he inmate population has been gradually eliminated through deliberate starvation, forced labor, executions, torture, rape and the denial of reproductive rights enforced through punishment, forced abortion and infanticide,"" the report stated.  ""The commission estimates that hundreds of thousands of political prisoners have perished in these camps over the past five decades,"" it continued.  Those not actively in prison camps are in de facto ones, constrained by the country's borders. Kim's regime tightly controls the information his people can receive and they are expected to demonstrate fealty to the regime. Attempts to leave are often met with death. When a soldier defected across the DMZ in 2017, he was shot five times by other guards at the border but escaped.  All of this is overseen by Kim, who rose to power upon the death of his father in 2011. In order to consolidate that power, he had his uncle murdered by firing squad. He had his own half brother killed in dramatic fashion: In the middle of an airport in Malaysia, two women wiped his face with elements of VX nerve toxin. He died shortly afterward.  These are not likable qualities in general. They are particularly unlikable as demonstrations of the sort of governance that the United States generally lambastes.  On the campaign trail, Trump's frequent argument about Russia was that it was important the U.S. and Russia get along. That's come back to haunt him, but it's clear now that he meant it in the same way he does North Korea: If he and Kim can get along, who knows what can happen?  One thing that can happen, it seems, is that the president can wave away the behavior of a charming dictator even after criticizing it robustly himself.",https://www.ndtv.com/world-news/after-second-meeting-with-kim-jong-un-donald-trump-asks-why-shouldnt-i-like-him-2001699,02-03-2019,1:09:00+00:00
"Former Jammu and Kashmir chief minister Mehbooba Mufti on Saturday termed the ban on Jamaat-e-Islami (JeI) an act of ""vengeance"" by the Centre, saying it would have ""dangerous consequences"".""There is an atmosphere of vengeance in the state, especially in the Valley after JeI youths and leaders were arrested. JeI is a social and political organisation. It is an ideology and I do not think you can imprison an ideology by arresting some activists of the outfit. We totally condemn it,"" Mehbooba told reporters at the PDP headquarters here.The PDP president said while there was no action against those persons responsible for incidents of lynching in the country, ""a social organisation involved in helping the poor"" in Kashmir has been banned.""You have Shiv Sena, Jan Sangh, RSS in the country who have lynched people on the basis of eating a type of meat, but there was no action. However, an organisation which has been helping the poor and running schools has been banned and its activists put in jails. We will not allow this. Its consequences will be dangerous,"" she said.Mehbooba asked the Centre not to turn Jammu and Kashmir into a prison. ""You cannot imprison an ideology, we live in a democratic nation and in a democracy, there is battle of ideas. If you have a better idea, let there be a battle on that, but do not turn J-K into a prison.""We had not allowed the BJP to do whatever it is doing now (during the PDP-BJP coalition), but unfortunately there is no one to stop them (now). When a Kashmiri is beaten, people applaud and become happy,"" she said.When asked about the sealing of properties of Jamaat leaders, including schools run by the organisation, the former chief minister said it was unfortunate and should not have been done.""It is unfortunate as these schools were providing education to the poorest of poor. Their students are meritorious. Where will all these students go after their schools have been banned. They are playing with our future and this is very wrong. They should rather ban (RSS) shakhas where swords are displayed. No Jamaati carries a sword,"" she said.Condemning the recent NIA raids on moderate Hurriyat Conference chairman Mirwaiz Umar Farooq's properties, Mehbooba said the Centre wants every Kashmiri to pay for ""a thought which is in his mind"".""I condemn the NIA raids on Mirwaiz. After all, he is the religious head of Jammu and Kashmir and has respect among the people. All these are acts of vengeance and it seems that they (Centre) want every Kashmiri to pay for a thought which is in his mind,"" she said.Later, party leaders and activists took out a protest march against the ban on Jamaat-e-Islami. Various party leaders and activists assembled at party headquarters and tried to march towards Lal Chowk City Centre here, but were stopped by a large contingent of policemen near Sher-e-Kashmir Park.",https://www.news18.com/news/india/banning-jamaat-e-islami-can-have-dangerous-consequences-warns-pdp-chief-mehbooba-2053445.html,02-03-2019,1:02:33+00:00
": Two days after the Indian Air Force displayed parts of an AMRAAM beyond visual range air-to-air missile as evidence to ""conclusively"" prove that Pakistan deployed US-manufactured F-16 fighter jets during an aerial raid targeting Indian military installations in Kashmir, the US has said that it is seeking more information on the same.ìWe are aware of these reports and are seeking more information,î a US embassy spokesperson told News18 when asked whether Pakistan had violated any laws in its use of American-made defence equipment in its air strikes on India.Indiaís display of the AMRAAM missile came a day after Pakistan claimed that no F-16 fighter jets were used and denied that one of its planes had been downed by the Indian Air Force.The central government has shared with the United States evidence of the fighter jet brought down by IAF pilot, Wing Commander Abhinandan Varthaman, in an aerial dogfight over the Line of Control on Wednesday to bolster its case about misuse of the fighter aircraft against India.According to Pentagon's Defense Security and Cooperation Agency (DSCA) F-16 jets were meant to be used to ""enhance Pakistan's ability to conduct counter-insurgency and counterterrorism operations"". Publicly available documents reveal that the US has imposed nearly a dozen restriction on Pakistan related to its use of F-16.Documents in the public domain shows that Pakistan was indeed sold the AMRAAM missiles, which can only be fired from an F-16, also bought by Pakistan from the US.IN 2016, the US Congress had written to the then Obama administration over the sale of F16s, saying that Pakistanís behaviour had not changed and that it was not in anyoneís interest to further Pakistanís defence capability considering its alleged complicity in terrorist activity. The sale, however, went through. Pakistan has been taking deliveries of the F-16s, now manufactured by Lockheed Martin, from the US since the early 80s.",https://www.news18.com/news/india/seeking-more-information-says-united-states-amid-reports-of-pakistan-attacking-india-with-american-missiles-2053393.html,02-03-2019,1:02:00+00:00
"entire nation is proud +  Varthaman arrived +  ""cooling down"" process +  NEW DELHI: Defence minister Nirmala Sitharaman on Saturday met Wing Commander Abhinandan Varthaman and conveyed to him that theof his courage and determination, officials said.During the meeting at a medical facility of the Indian Air Force, Varthaman is understood to have explained to Sitharaman details of his nearly 60-hour detention in Pakistan.in the national capital by an IAF flight around 11.45pm on Friday, nearly two-and-half hours after he crossed over to India through the Attari-Wagah border.Currently, he is undergoing medical tests at the Air Force Central Medical Establishment (AFCME), a compact and specialised medical evaluation centre for aircrew of all the three services.The medical tests are part of thewhich is expected to continue till Sunday. Once the health check-up phase is over, debriefing sessions will be arranged for him, the officials said.Earlier today, Varthaman met his immediate family members as well as several top officials of the Indian Air Force.He was captured by Pakistani authorities on February 27 after his MiG-21 Bison went down during a dogfight with Pakistani jets. But before his plane was hit, Varthaman shot down an F-16 of Pakistan air force.",https://timesofindia.indiatimes.com/india/defence-minister-sitharaman-meets-wing-commander-abhinandan/articleshow/68232143.cms,02-03-2019,0:56:09+00:00
"NEW DELHI: The Samjhauta Express will leave for Pakistan from Delhi on Sunday after the two neighbours agreed to operationalise services at their ends, a senior railway official told PTI.The announcement came a day after Pakistan released Wing Commander Abhinandan Varthaman.The official said the first train from India will leave on March 3.While Pakistan had cancelled its services right after an air strike by the Indian Air Force , India cancelled the operations of the Samjhauta Express on February 28.The Railway Board in an order had said all operations of the Attari Special Express, Delhi-Attari-Delhi, which together with the Pakistani line from Wagah-Lahore is known as the Samjhauta or Friendship Express, will remain cancelled.It had also said that the cancellation was due to ""purely operational reasons"".Sources said after the missive about Pakistan's resumption of services was conveyed to the board, it was decided that services on the Indian end will resume too.The train will start running from the Indian side on Sunday, while on the Pakistan side it will leave Lahore on Monday for its return journey, the official said.On the Indian side the train runs from Delhi to Attari and from Lahore to Wagah on the Pakistan side.The Samjhauta Express, named after the Hindi word for ""agreement"", comprises six sleeper coaches and an AC 3-tier coach.The train service was started on July 22, 1976 under the Shimla Agreement that settled the 1971 war between the two nations.From Lahore, the train departs on Monday and Thursday.The train operates from Delhi on every Wednesday and Sunday.The sources said the footfall on the train, which generally records an occupancy of around 70 per cent, had fallen drastically post the Pulwama terror attack on February 14 carried out by Pakistan-based Jaish-e-Mohammed in which 40 CRPF jawans were killed.",https://timesofindia.indiatimes.com/india/samjhauta-express-services-restored-train-to-run-from-india-on-sunday-railways/articleshow/68231815.cms,02-03-2019,0:24:42+00:00
"UNITED NATIONS: The UN Security Council has designated Hamza bin Laden , the son of slain al-Qaida chief Osama bin Laden, under its sanctions list, describing the terrorist, thought to be based near the Pakistan-Afghanistan border, as the ""most probable successor"" of the group's current leader Aiman al-Zawahiri.The UN Security Council's 1267 ISIS and al-Qaida Sanctions Committee listed 29-year old Hamza bin Laden on Thursday, the day the US announced a reward of up to one million dollars for information about him.Saudi Arabia also announced on Friday it had revoked the citizenship of Hamza bin Laden via a royal decree in November.A Security Council press release said al-Zawahiri has announced that the Saudi Arabia-born Hamza bin Laden is an official member of al-Qaida. Hamza bin Laden ìhas called for followers of al-Qaida to commit terror attacks. Is seen as the most probable successor of al-Zawahiri,î the powerful 15-member Council said.The sanctions list subjected him to a travel ban, assets freeze and an arms embargo.An assets freeze under the Sanctions Committee requires that all states freeze without delay the funds and other financial assets or economic resources of designated individuals and entities.The travel ban entails preventing the entry into or transit by all states through their territories by designated individuals.Under the arms embargo, all states are required to prevent the direct or indirect supply, sale and transfer from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types, spare parts, and technical advice, assistance, or training related to military activities, to designated individuals and entities.Just hours before the UNSC Sanctions Committee designated Hamza bin Laden, the US State Department's Rewards for Justice Program announced a reward for up to $1 million for information leading to his identification or location in any country, saying he is emerging as a leader in the al-Qaida franchise.""Since at least August 2015, he has released audio and video messages on the Internet calling on his followers to launch attacks against the United States and its Western allies, and he has threatened attacks against the United States in revenge for the May 2011 killing of his father by US service members,î the State Department said.In January 2017, the State Department had listed Hamza bin Laden as a Specially Designated Global Terrorist, freezing all of his assets based in the United States or in the possession or control of US persons. The designation also prohibited US persons from engaging in transactions with him.",https://timesofindia.indiatimes.com/world/south-asia/unsc-blacklists-osama-bin-ladens-son-seen-as-successor-of-al-qaida-leader-al-zawahiri/articleshow/68231771.cms,02-03-2019,0:22:51+00:00
"Prime Minister Narendra Modi | Photo Credit: ANI  Amethi: Prime Minister Narendra Modi will address a public meeting and lay the foundation stone of an ordnance factory unit in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, in Uttar Pradesh on Sunday. The constituency is being given a saffron hue ahead of the visit, during which the prime minister will launch several projects in the constituency which has remained loyal to the Gandhi family for long.  This would be Modi's first visit to Amethi after coming to power in 2014. He visited the neighbouring Rae Bareli constituency, represented in Lok Sabha by UPA chairperson Sonia Gandhi, in December. According to official sources, Modi will address a public meeting in Kauhar area of Gauriganj and will launch some projects besides laying the foundation stone of a new unit of the Munshiganj Ordnance Factory, where assault rifles will be made in collaboration with Russia, on Sunday.  Chief Minister Yogi Adityanath visited Amethi earlier this week to review preparations for the prime minister's visit. Modi previously visited Amethi on May 5, 2014, and the BJP, which had fielded party leader Smriti Irani against Gandhi in 2014 general election, had managed three lakh votes.  Irani has been nurturing the constituency since and is expected to contest again in the coming poll, expected to be held in April-May. State BJP general secretary Govind Narain Shukla, who is the convenor of the prime minister's public meeting, said, ""It will be a historic meeting in Kauhar with over 1.25 lakh people likely to attend it.""  In 2017 Uttar Pradesh Assembly elections, the BJP had won four of the five assembly constituencies under Amethi Lok Sabha seat, with SP winning one. Congress had failed to open an account in the Gandhi bastion.  Meanwhile, Congress workers have objected to the white-washing of the wall paintings of their leader, Rahul Gandhi, near the meeting venue.  Gandhi's representative, Chandrakant Dubey, said white-washing the paintings of the local MP was ""very sad and unfortunate"" and only shows the intolerance of BJP leaders and workers.",https://www.timesnownews.com/india/article/pm-narendra-modi-to-address-public-meeting-in-amethi-on-sunday-his-first-visit-after-coming-to-power-in/375400,02-03-2019,9:47:33+00:00
"Lok Sabha elections 2019: Aam Aadmi Party announced candidates for the seats in Delhi  Highlights AAP announced candidates in Delhi for Lok Sabha elections Candidate for seventh and final seat, West Delhi, still being discussed BJP had won the seven Delhi seats in the 2014 election  The Arvind Kejriwal-led Aam Aadmi Party, days after declaring that there will be no grand alliance or ""mahagathbandhan"" with the Congress in Delhi, today announced its candidates in Delhi for the Lok Sabha elections, which are due by May.  The party will field Atishi from East Delhi, Raghav Chaddha from South Delhi, Pankaj Gupta from Chandni Chowk, Dilip Pandey from North East Delhi, Gugan Singh from North West Delhi and Brajesh Goel from the New Delhi Lok Sabha seat. The six candidates were earlier appointed as in charge on the respective Lok Sabha seats.  The candidate for the seventh and the final seat, West Delhi, is still being discussed and will be announced later, senior party leader Gopal Rai said at a press conference this afternoon.  The BJP had won the seven Delhi seats in the 2014 election. Since then, however, AAP has made its presence felt with impressive wins in assembly polls. ""We won 66 out of 77 seats in Assembly elections. We will try to make a similar presence felt during the Lok Sabha elections,"" Mr Rai said.  On why AAP did not tie-up with the Congress to take on the BJP and PM Modi, Gopal Rai pinned the blamed squarely on the Congress and its chief Rahul Gandhi.  ""Sheila Dikshit has said a straight no to alliance. Rahul Gandhi also said not possible... Aam Aadmi Party wanted the alliance, but the Congress is not ready"" Gopal Rai said.  At a public meeting last week, Delhi Chief Minister Arvind Kejriwal had said he was ""tired"" of trying to persuade the Congress to agree to an alliance with his AAP. A day later, Sheila Dikshit retorted, ""When did AAP ever come to us? If Arvind wants an alliance, then he should directly speak to me.""  Just weeks before that, Arvind Kejriwal and Rahul Gandhi both attended a meeting of opposition leaders at Maharashtra politician Sharad Pawar's home in Delhi. West Bengal Chief Minister Mamata Banerjee, who also participated in the discussions, told reporters that AAP and Congress had been urged to consider tying up in Delhi.  Mr Kejriwal's party was born out of the anti-corruption movement against the Congress over the demand of an anti-corruption body. In 2013, the Congress helped AAP take power in Delhi, but Mr Kejriwal quit after a 49-day stint over the anti-corruption Lokpal bill, adding to the acrimony. Two years later, AAP returned to power with a spectacular mandate and the Congress was wiped out. The Congress, say sources, believes AAP rode to power by eating into its vote-base.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-aap-declares-candidates-for-6-seats-in-delhi-no-alliance-with-congress-2001638,02-03-2019,8:36:00+00:00
"Politics  ìFor your (BJP's) political gain, you are alienating members of one community and in the coming days, this will lead to innocent lives being lost,î Kumaraswamy said.  On February 28, Chief Minister HD Kumaraswamy had lashed out against BJP state President BS Yeddyurappa's statement that the preemptive strike in Pakistan's Balakot would help the BJP win 22 seats in Karnataka.  On Friday, Kumaraswamy, who was speaking at a party meeting in Mysuru, said that the BJP party workers, who were bursting crackers and celebrating the bombings, in India, were adding fuel to the fire and alienating the two communities within the country.  In a video clip, which has gone viral on social media, Kumaraswamy is heard saying, ""Bombing terror cells inside Pakistan aside, by standing on the streets, distributing tea and bursting crackers in celebration of this, the BJP is making way for communal tensions within the country. For your (BJP's) political gain, you are alienating members of one community and in the coming days, this will lead to innocent lives being lost.""  A day after Kumaraswamy's statement, the BJP in Karnataka has reacted strongly to it and has even called the pre-poll alliance of the Congress, JD(S) as anti-national.  ""He says Indians bombing Pakistan & celebrating Indiaís victory will create rift between two religions in India. CM HD Kumaraswamy just reminding, you are a CM of an Indian state and not Pakistan. This statement completely exposes the anti India mindset of Mahaghatbandhan,"" the BJP in Karnataka tweeted.  He says ìIndians bombing Pakistan & celebrating Indiaís victory will create rift between two religions in Indiaî    CM @hd_kumaraswamy avare just reminding, you are a CM of an Indian state & not Pakistan.    This statement completely exposes the anti India mindset of #Mahaghatbandhan pic.twitter.com/hCfAuumG69 ó BJP Karnataka (@BJP4Karnataka) March 2, 2019  Several BJP leaders too lashed out against Kumaraswamy's statement and took to Twitter to admonish him. Chikkamagaluru MLA CT Ravi accused the CM of trying to create a rift between the two communities. ""Dear CM of Haasan & Mandya HD Kumaraswamy, I don't see any reason why there will be animosity between two communities if India attacks terrorist bases in Pakistan. Why are you dividing Indians on communal lines like your alliance partner Congress?"" CT Ravi questioned.  Dear CM of Haasana & Mandya @hd_kumaraswamy,    I don't see any reason why there will be animosity between two Communities if India attacks Terrorist bases in Pakistan.    Why are you dividing Indians on Communal lines like your alliance partner CONgress?#WelcomeHomeAbhinandan pic.twitter.com/9TrCUNi9j4 ó C T Ravi (@CTRavi_BJP) March 2, 2019  BJP leaders also accused the Congress-JD(S) coalition of resorting to vote bank politics and claimed that the coalition was supporting Pakistan. ""The act of Indians distributing sweets and celebrating bombing of terrorists in Pakistan will create rift b/w two communities in India says HDK, Vote bank politics at its best! Are they supporting Pakistan just because they have deep rooted hatred against Modi government?"" Udupi-Chikkamagaluru MP Shobha Karandlaje tweeted.  Reacting to the BJP's accusations, Chief Minister Kumaraswamy said that his words were taken out of context and that the BJP had doctored the original video to remove certain parts of his speech. ""Shame on you BJP in Karnataka for misleading the people by editing and twisting my statement against the BJP to suit your ulterior motives. In my original speech, I had said, ""BJP leaders are bragging as if they themselves did the attack and not our army."" You edited out the term BJP,"" Kumaraswamy said in a tweet.  Shame on you @BJP4Karnataka for misleading the people by editing& twisting my statement against the BJP to suit your ulterior motives. In my original speech, I had said, ""BJP leaders are bragging as if they themselves did the attack and not our army."" You edited out the term BJP. ó H D Kumaraswamy (@hd_kumaraswamy) March 2, 2019  The Chief Minister went on to accuse the BJP of trying to malign his reputation by resorting to the tactics used by Pakistan and doctoring the video. Kumaraswamy also stated that the BJP was resorting to propaganda to suit its needs. ""It is dangerous to edit words out of context to malign someone to suit your political gains. Your action is the same as Pakistan's, of creating a doctored propaganda video out of our hero Abhinandan's statement. My comment was on our BJP friends' attempts to gain political mileage out of our defence operations, and creating war euphoria leading to social unrest. You took it out of context and edited out words! You proved once again you are fake news experts just like our neighbouring country,"" Kumaraswamy added.  It is dangerous to edit words outof context to malign someone to suit your political gains.Your action is the same as Pakistan's,of creating a doctored propaganda video outof our hero #Abhinandan's statement. My comment was on our BJP friends' attempts to gain political mileage.. ó H D Kumaraswamy (@hd_kumaraswamy) March 2, 2019",https://www.thenewsminute.com/article/celebrating-preemptive-strike-will-create-communal-tensions-india-hd-kumaraswamy-97625,02-03-2019,6:18:35+00:00
"PM Modi inaugurated the Construction Technology India-2019 Expo-cum-Conference in Delhi.  Prime Minister Narendra Modi today inaugurated the Construction Technology India-2019 Expo-cum-Conference in Delhi.  The conference will identify proven, innovative and globally established technologies for use in the Indian context. Technology providers, researchers, start-ups, developers, academia, public sector agencies and other domain experts are participating in the two-day event.  Youth are the main beneficiaries of this initiative. Proven technologies which are identified during CTI - 2019 will be further invited to design and build lighthouse projects of nearly one thousand housing units each at six States in the country. These states are Gujarat, Jharkhand, Madhya Pradesh, Tamil Nadu, Tripura and Uttar Pradesh.  Here are the highlights of the Construction Technology India 2019 conference in Delhi",https://www.ndtv.com/india-news/congress-president-rahul-gandhi-to-address-rally-in-ranchi-today-2001540,02-03-2019,5:55:16+00:00
